date,value
5/17/14,9
5/18/14,12
5/19/14,3
5/20/14,8
5/21/14,12
5/22/14,14
5/23/14,8
5/24/14,9
5/25/14,8
5/26/14,12
5/27/14,14
5/28/14,20
5/29/14,21
5/30/14,13
5/31/14,14
6/1/14,72
6/2/14,20
6/3/14,20
6/4/14,12
6/5/14,16
6/6/14,19
6/7/14,12
6/8/14,9
6/9/14,17
6/10/14,16
6/11/14,6
6/12/14,12
6/13/14,17
6/14/14,20
6/15/14,19
6/16/14,15
6/17/14,19
6/18/14,15
6/19/14,19
6/20/14,12
6/21/14,14
6/22/14,20
6/23/14,14
6/24/14,14
6/25/14,20
6/26/14,19
6/27/14,13
6/28/14,11
6/29/14,9
6/30/14,23
7/1/14,77
7/2/14,17
7/3/14,17
7/4/14,10
7/5/14,17
7/6/14,10
7/7/14,15
7/8/14,20
7/9/14,9
7/10/14,13
7/11/14,15
7/12/14,9
7/13/14,11
7/14/14,26
7/15/14,18
7/16/14,15
7/17/14,13
7/18/14,16
7/19/14,14
7/20/14,15
7/21/14,18
7/22/14,15
7/23/14,20
7/24/14,10
7/25/14,17
7/26/14,19
7/27/14,8
7/28/14,14
7/29/14,15
7/30/14,18
7/31/14,24
8/1/14,73
8/2/14,23
8/3/14,9
8/4/14,11
8/5/14,10
8/6/14,14
8/7/14,15
8/8/14,23
8/9/14,17
8/10/14,17
8/11/14,16
8/12/14,11
8/13/14,22
8/14/14,17
8/15/14,23
8/16/14,17
8/17/14,16
8/18/14,19
8/19/14,12
8/20/14,13
8/21/14,26
8/22/14,26
8/23/14,16
8/24/14,10
8/25/14,9
8/26/14,18
8/27/14,18
8/28/14,15
8/29/14,14
8/30/14,17
8/31/14,11
9/1/14,94
9/2/14,19
9/3/14,13
9/4/14,18
9/5/14,19
9/6/14,13
9/7/14,12
9/8/14,13
9/9/14,14
9/10/14,11
9/11/14,15
9/12/14,16
9/13/14,15
9/14/14,15
9/15/14,20
9/16/14,12
9/17/14,13
9/18/14,17
9/19/14,26
9/20/14,8
9/21/14,10
9/22/14,20
9/23/14,22
9/24/14,13
9/25/14,12
9/26/14,16
9/27/14,12
9/28/14,12
9/29/14,15
9/30/14,22
10/1/14,99
10/2/14,18
10/3/14,25
10/4/14,18
10/5/14,13
10/6/14,18
10/7/14,13
10/8/14,11
10/9/14,10
10/10/14,27
10/11/14,25
10/12/14,19
